# File Name: Greek_Lexicon_Strongs.txt
# File Size: 1571461     
# File Date: 06/01/2026 18:29:49
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Robert Rouse
# Source Content: James Strong's Lexicon, Greek
# Source Description: https://en.wikipedia.org/wiki/Strong%27s_Concordance
# Source Copyright: Public Domain
# Source Link: https://viz.bible/
#
# COLUMNS
#	STRONGS		Strong's number
#	WORD		Greek word
#	TRANS		Transliterated word
#	PRONOUNCE	Pronunciation
#	LANG		Language
#	MORPH		Part of speech
#	DEF			Definition
#
STRONGS	WORD	TRANS	PRONOUNCE	LANG	MORPH	DEF
1	Α	A	al'-fah	greek	Letter	the first letter of the alphabet; figuratively, only (from its use as a numeral) the first: ; --Alpha; of Hebrew origin
2	Ἀαρών	Aarṓn	ah-ar-ohn'	greek	Proper Name Masculine	Aaron, the brother of Moses; Aaron; of Hebrew origin (<a href='/Strongs/strongs-h175' onclick='return ABMM("/Strongs","/strongs-h175");'>h175</a>)
3	Ἀβαδδών	Abaddṓn	ab-ad-dohn'	greek	Proper Name Masculine	a destroying angel; Abaddon; of Hebrew origin (<a href='/Strongs/strongs-h11' onclick='return ABMM("/Strongs","/strongs-h11");'>h11</a>)
4	ἀβαρής	abarḗs	ab-ar-ace'	greek	Adjective	weightless, i.e. (figuratively) not burdensome; from being burdensome; from <a href='/Strongs/strongs-g1' onclick='return ABMM("/Strongs","/strongs-g1");'>g1</a> (Α) (as a negative particle) and <a href='/Strongs/strongs-g922' onclick='return ABMM("/Strongs","/strongs-g922");'>g922</a> (βάρος)
5	Ἀββᾶ	Abbâ	ab-bah'	greek	Noun	father as a vocative; Abba; of Chaldee origin (<a href='/Strongs/strongs-h2' onclick='return ABMM("/Strongs","/strongs-h2");'>h2</a>)
6	Ἄβελ	Ábel	ab'-el	greek	Proper Name Masculine	Abel, the son of Adam; Abel; of Hebrew origin (<a href='/Strongs/strongs-h1893' onclick='return ABMM("/Strongs","/strongs-h1893");'>h1893</a>)
7	Ἀβιά	Abiá	ab-ee-ah'	greek	Proper Name Masculine	Abijah, the name of two Israelites; Abia; of Hebrew origin (<a href='/Strongs/strongs-h29' onclick='return ABMM("/Strongs","/strongs-h29");'>h29</a>)
8	Ἀβιαθάρ	Abiathár	ab-ee-ath'-ar	greek	Proper Name Masculine	Abiathar, an Israelite; Abiathar; of Hebrew origin (<a href='/Strongs/strongs-h54' onclick='return ABMM("/Strongs","/strongs-h54");'>h54</a>)
9	Ἀβιληνή	Abilēnḗ	ab-ee-lay-nay'	greek	Proper Name Location	Abilene, a region of Syria; Abilene; of foreign origin (compare <a href='/Strongs/strongs-h58' onclick='return ABMM("/Strongs","/strongs-h58");'>h58</a>)
10	Ἀβιούδ	Abioúd	ab-ee-ood'	greek	Proper Name Location	Abihud, an Israelite; Abiud; of Hebrew origin (<a href='/Strongs/strongs-h31' onclick='return ABMM("/Strongs","/strongs-h31");'>h31</a>)
11	Ἀβραάμ	Abraám	ab-rah-am'	greek	Proper Name Masculine	Abraham, the Hebrew patriarch; Abraham; of Hebrew origin (<a href='/Strongs/strongs-h85' onclick='return ABMM("/Strongs","/strongs-h85");'>h85</a>)
