# File Name: Hebrew_Lexicon_Strongs.txt
# File Size: 2203647     
# File Date: 06/01/2026 18:29:49
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Robert Rouse
# Source Content: James Strong's Lexicon, Hebrew
# Source Description: https://en.wikipedia.org/wiki/Strong%27s_Concordance
# Source Copyright: Public Domain
# Source Link: https://viz.bible/
#
# COLUMNS
#	STRONGS		Strong's number
#	WORD		Hebrew word
#	TRANS		Transliterated word
#	PRONOUNCE	Pronunciation
#	LANG		Language
#	MORPH		Part of speech
#	DEF			Definition
#
STRONGS	WORD	TRANS	PRONOUNCE	LANG	MORPH	DEF
1	אָב	ʼâb	awb	heb	Noun Masculine	father, in a literal and immediate, or figurative and remote application; chief, (fore-) father(-less), [idiom] patrimony, principal. Compare names in 'Abi-'.; a primitive word
2	אַב	ʼab	ab	arc	Noun Masculine	{father}; father.; (Aramaic) corresponding to <a href='/Strongs/strongs-h1' onclick='return ABMM("/Strongs","/strongs-h1");'>h1</a> (אָב)
3	אֵב	ʼêb	abe	heb	Noun Masculine	a green plant; greenness, fruit.; from the same as <a href='/Strongs/strongs-h24' onclick='return ABMM("/Strongs","/strongs-h24");'>h24</a> (אָבִיב)
4	אֵב	ʼêb	abe	arc	Noun Masculine	{a green plant}; fruit.; (Aramaic) corresponding to <a href='/Strongs/strongs-h3' onclick='return ABMM("/Strongs","/strongs-h3");'>h3</a> (אֵב)
5	אֲבַגְתָא	ʼĂbagthâʼ	ab-ag-thaw'	x-pn	Proper Name Masculine	Abagtha, a eunuch of Xerxes; Abagtha.; of foreign origin
6	אָבַד	ʼâbad	aw-bad'	heb	Verb	properly, to wander away, i.e. lose oneself; by implication to perish (causative, destroy); break, destroy(-uction), [phrase] not escape, fail, lose, (cause to, make) perish, spend, [idiom] and surely, take, be undone, [idiom] utterly, be void of, have no way to flee.; a primitive root
7	אֲבַד	ʼăbad	ab-ad'	arc	Verb	{properly, to wander away, i.e. lose oneself; by implication to perish (causative, destroy)}; destroy, perish.; (Aramaic) corresponding to <a href='/Strongs/strongs-h6' onclick='return ABMM("/Strongs","/strongs-h6");'>h6</a> (אָבַד)
8	אֹבֵד	ʼôbêd	o-bade'	heb	Noun Masculine	(concrete) wretched or (abstract) destruction; perish.; active of participle of <a href='/Strongs/strongs-h6' onclick='return ABMM("/Strongs","/strongs-h6");'>h6</a> (אָבַד)
9	אֲבֵדָה	ʼăbêdâh	ab-ay-daw'	heb	Noun Feminine	concrete, something lost; abstract, destruction, i.e. Hades; lost.; from <a href='/Strongs/strongs-h6' onclick='return ABMM("/Strongs","/strongs-h6");'>h6</a> (אָבַד); Compare <a href='/Strongs/strongs-h10' onclick='return ABMM("/Strongs","/strongs-h10");'>h10</a> (אֲבַדֹּה).
10	אֲבַדֹּה	ʼăbaddôh	ab-ad-do'	heb	Noun Feminine	a perishing; destruction.; the same as <a href='/Strongs/strongs-h9' onclick='return ABMM("/Strongs","/strongs-h9");'>h9</a> (אֲבֵדָה), miswritten for <a href='/Strongs/strongs-h11' onclick='return ABMM("/Strongs","/strongs-h11");'>h11</a> (אֲבַדּוֹן)
